摆长与周期,钢小球,,,,,,,,,,,
摆长 L (米),最大摆角 (°),测量方法,未修正周期 (秒),未修正重力加速度 (m/s²),未修正相对误差 (%),大摆角修正系数,修正后重力加速度 (m/s²),修正后相对误差 (%),最终采用方法,最终重力加速度 (m/s²),最终相对误差 (%),标准值 (m/s²)
0.33,5,FFT,1.156,9.745,0.5,1.000476,9.754,0.4,Peak,9.774,0.2,9.7936
0.33,5,Peak,1.155 ± 0.008,9.765,0.29,1.000476,9.774,0.2,Peak,9.774,0.2,9.7936
0.33,5,Fit,1.156,9.755,0.39,1.000476,9.765,0.3,Peak,9.774,0.2,9.7936
0.34,5,FFT,1.174,9.737,0.58,1.000476,9.746,0.49,Fit,9.747,0.47,9.7936
0.34,5,Peak,1.175 ± 0.014,9.722,0.73,1.000476,9.731,0.63,Fit,9.747,0.47,9.7936
0.34,5,Fit,1.174,9.738,0.57,1.000476,9.747,0.47,Fit,9.747,0.47,9.7936
0.35,5,FFT,1.193,9.715,0.8,1.000476,9.724,0.71,Fit,9.725,0.7,9.7936
0.35,5,Peak,1.193 ± 0.008,9.711,0.85,1.000476,9.72,0.75,Fit,9.725,0.7,9.7936
0.35,5,Fit,1.193,9.716,0.79,1.000476,9.725,0.7,Fit,9.725,0.7,9.7936
0.36,5,FFT,1.195,9.96,1.7,1.000476,9.969,1.79,Fit,9.725,0.7,9.7936
0.36,5,Peak,1.210 ± 0.008,9.7,0.95,1.000476,9.71,0.86,Fit,9.725,0.7,9.7936
0.36,5,Fit,1.209,9.716,0.8,1.000476,9.725,0.7,Fit,9.725,0.7,9.7936
0.37,5,FFT,1.228,9.684,1.12,1.000476,9.693,1.03,Fit,9.765,0.29,9.7936
0.37,5,Peak,1.225 ± 0.008,9.734,0.61,1.000476,9.743,0.51,Fit,9.765,0.29,9.7936
0.37,5,Fit,1.224,9.756,0.38,1.000476,9.765,0.29,Fit,9.765,0.29,9.7936